ID,SensorCode,SensorName,SensorType,UpdatedTime0,SensorStatus
,2,DGU0001,Unknown,Unknown,2020-9-15 20:02
,3,DGU0002,Unknown,Unknown,2020-9-15 20:02
,6,DGU0003,Unknown,Unknown,2020-9-15 20:02
,4,DGU0004,Unknown,Unknown,2020-9-15 20:02
,5,DGU0005,Unknown,Unknown,2020-9-15 20:02
,1,DGU0006,Unknown,Unknown,2020-9-15 20:02
,13,DGU0007,Unknown,Unknown,2020-9-15 20:02
,8,DGU0008,Unknown,Unknown,2020-9-15 20:02
,9,DGU0009,Unknown,Unknown,2020-9-15 20:02
,10,DGU0010,Unknown,Unknown,2020-9-15 20:02
,11,DGU0011,Unknown,Unknown,2020-9-15 20:02
,12,DGU0012,Unknown,Unknown,2020-9-15 20:02
,14,DGU0013,Unknown,Unknown,2020-9-15 20:02
,15,DGU0014,Unknown,Unknown,2020-9-15 20:02
,16,DGU0015,Unknown,Unknown,2020-9-15 20:02
,17,DGU0016,Unknown,Unknown,2020-9-15 20:02
,18,DGU0017,Unknown,Unknown,2020-9-15 20:02
,19,DGU0018,Unknown,Unknown,2020-9-15 20:02
,26,DGU0019,Unknown,Unknown,2020-9-15 20:02
,7,DGU0020,Unknown,Unknown,2020-9-15 20:02
,20,DGU0021,Unknown,Unknown,2020-9-15 20:02
,23,DGU0022,Unknown,Unknown,2020-9-15 20:02
,25,DGU0023,Unknown,Unknown,2020-9-15 20:02
,21,DGU0024,Unknown,Unknown,2020-9-15 20:02
,22,DGU0025,Unknown,Unknown,2020-9-15 20:02
,24,DGU0026,Unknown,Unknown,2020-9-15 20:02
,27,DGU0027,Unknown,Unknown,2020-9-15 20:02
,28,DGU0028,Unknown,Unknown,2020-9-15 20:02
,29,DGU0029,Unknown,Unknown,2020-9-15 20:02
,30,DGU0030,Unknown,Unknown,2020-9-15 20:02
,31,DGU0031,Unknown,Unknown,2020-9-15 20:02
,32,DGU0032,Unknown,Unknown,2020-9-15 20:02
,33,DGU0033,Unknown,Unknown,2020-9-15 20:02
,34,DGU0034,Unknown,Unknown,2020-9-15 20:02
,35,DGU0035,Unknown,Unknown,2020-9-15 20:02
,36,DGU0036,Unknown,Unknown,2020-9-15 20:02
,41,DGU0037,Unknown,Unknown,2020-9-15 20:02
,42,DGU0038,Unknown,Unknown,2020-9-15 20:02
,43,DGU0039,Unknown,Unknown,2020-9-15 20:02
,50,DGU0040,Unknown,Unknown,2020-9-15 20:02
,44,DGU0041,Unknown,Unknown,2020-9-15 20:02
,45,DGU0042,Unknown,Unknown,2020-9-15 20:02
,48,DGU0043,Unknown,Unknown,2020-9-15 20:02
,46,DGU0044,Unknown,Unknown,2020-9-15 20:02
,47,DGU0045,Unknown,Unknown,2020-9-15 20:02
,49,DGU0046,Unknown,Unknown,2020-9-15 20:02
,39,DGU0047,Unknown,Unknown,2020-9-15 20:02
,40,DGU0048,Unknown,Unknown,2020-9-15 20:02
,37,DGU0049,Unknown,Unknown,2020-9-15 20:02
,38,DGU0050,Unknown,Unknown,2020-9-15 20:02
